,title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
197,Age Of Loneliness - Radio Edit,18idgoIaAc0W9e2u5bTYhY,0.52,0.825,4,-8.546,0,0.04,0.0151,0.446,0.0952,0.392,93.026,18idgoIaAc0W9e2u5bTYhY,spotify:track:18idgoIaAc0W9e2u5bTYhY,https://api.spotify.com/v1/tracks/18idgoIaAc0W9e2u5bTYhY,https://api.spotify.com/v1/audio-analysis/18idgoIaAc0W9e2u5bTYhY,256960,4
198,Out From The Deep - Radio Edit,5p6BgGmew8ZbyNlW6zVEMw,0.411,0.751,7,-7.361,1,0.0418,0.0935,0.0334,0.353,0.28,167.882,5p6BgGmew8ZbyNlW6zVEMw,spotify:track:5p6BgGmew8ZbyNlW6zVEMw,https://api.spotify.com/v1/tracks/5p6BgGmew8ZbyNlW6zVEMw,https://api.spotify.com/v1/audio-analysis/5p6BgGmew8ZbyNlW6zVEMw,272200,4
199,Beyond The Invisible - Radio Edit,5gPdjsmYkLm5FWT2PXIhnF,0.422,0.773,7,-7.921,0,0.0371,0.0524,0.0166,0.107,0.186,99.004,5gPdjsmYkLm5FWT2PXIhnF,spotify:track:5gPdjsmYkLm5FWT2PXIhnF,https://api.spotify.com/v1/tracks/5gPdjsmYkLm5FWT2PXIhnF,https://api.spotify.com/v1/audio-analysis/5gPdjsmYkLm5FWT2PXIhnF,275200,4
200,T.N.T. For The Brain - Radio Edit,3DTBV95Asn4QvFAId13M0t,0.559,0.76,9,-9.871,0,0.0428,0.0629,0.377,0.614,0.737,111.06,3DTBV95Asn4QvFAId13M0t,spotify:track:3DTBV95Asn4QvFAId13M0t,https://api.spotify.com/v1/tracks/3DTBV95Asn4QvFAId13M0t,https://api.spotify.com/v1/audio-analysis/3DTBV95Asn4QvFAId13M0t,243907,4
201,Gravity Of Love - Radio Edit,4dXuG4aEdyEXNTT8Sqe0hM,0.574,0.746,1,-9.766,0,0.0434,0.115,0.204,0.149,0.444,140.015,4dXuG4aEdyEXNTT8Sqe0hM,spotify:track:4dXuG4aEdyEXNTT8Sqe0hM,https://api.spotify.com/v1/tracks/4dXuG4aEdyEXNTT8Sqe0hM,https://api.spotify.com/v1/audio-analysis/4dXuG4aEdyEXNTT8Sqe0hM,240440,4
202,Push The Limits - Radio Edit,5ElRWj8iZJbZKQbqCGSiQU,0.578,0.927,2,-8.358,1,0.0364,0.0158,0.949,0.417,0.56,99.004,5ElRWj8iZJbZKQbqCGSiQU,spotify:track:5ElRWj8iZJbZKQbqCGSiQU,https://api.spotify.com/v1/tracks/5ElRWj8iZJbZKQbqCGSiQU,https://api.spotify.com/v1/audio-analysis/5ElRWj8iZJbZKQbqCGSiQU,234160,4
203,Turn Around - Radio Edit,5OFBzAsPoKvEeNRu67AzUD,0.728,0.838,1,-8.361,0,0.0517,0.307,0.422,0.0832,0.314,106.002,5OFBzAsPoKvEeNRu67AzUD,spotify:track:5OFBzAsPoKvEeNRu67AzUD,https://api.spotify.com/v1/tracks/5OFBzAsPoKvEeNRu67AzUD,https://api.spotify.com/v1/audio-analysis/5OFBzAsPoKvEeNRu67AzUD,235067,4
204,Voyageur - Radio Edit,3HFI471OS9soDWA3lGh0Qd,0.668,0.866,9,-7.174,0,0.0768,0.00882,0.674,0.0526,0.532,121.476,3HFI471OS9soDWA3lGh0Qd,spotify:track:3HFI471OS9soDWA3lGh0Qd,https://api.spotify.com/v1/tracks/3HFI471OS9soDWA3lGh0Qd,https://api.spotify.com/v1/audio-analysis/3HFI471OS9soDWA3lGh0Qd,237067,4
205,Boum-Boum - Radio Edit,04puSglTQUaP4J9PdEPREb,0.782,0.854,7,-8.708,1,0.091,0.278,0.237,0.0534,0.785,119.996,04puSglTQUaP4J9PdEPREb,spotify:track:04puSglTQUaP4J9PdEPREb,https://api.spotify.com/v1/tracks/04puSglTQUaP4J9PdEPREb,https://api.spotify.com/v1/audio-analysis/04puSglTQUaP4J9PdEPREb,223960,4
206,Following The Sun - Radio Edit,2oHhE19LtMRcwH6SWrUdAo,0.662,0.723,10,-7.242,1,0.0286,0.0696,0.002,0.0625,0.915,116.965,2oHhE19LtMRcwH6SWrUdAo,spotify:track:2oHhE19LtMRcwH6SWrUdAo,https://api.spotify.com/v1/tracks/2oHhE19LtMRcwH6SWrUdAo,https://api.spotify.com/v1/audio-analysis/2oHhE19LtMRcwH6SWrUdAo,258800,4
207,Seven Lives - Radio Edit,5cZp1zR5irB7m08xkw1664,0.641,0.566,1,-11.011,1,0.124,0.242,0.0379,0.177,0.365,90.034,5cZp1zR5irB7m08xkw1664,spotify:track:5cZp1zR5irB7m08xkw1664,https://api.spotify.com/v1/tracks/5cZp1zR5irB7m08xkw1664,https://api.spotify.com/v1/audio-analysis/5cZp1zR5irB7m08xkw1664,227867,4
208,La Puerta Del Cielo - Radio Edit,06XPZNjnPt90Y4cAIqPN19,0.54,0.616,9,-9.726,0,0.0378,0.0554,0.000332,0.232,0.392,94.27,06XPZNjnPt90Y4cAIqPN19,spotify:track:06XPZNjnPt90Y4cAIqPN19,https://api.spotify.com/v1/tracks/06XPZNjnPt90Y4cAIqPN19,https://api.spotify.com/v1/audio-analysis/06XPZNjnPt90Y4cAIqPN19,213173,4
209,Sadeness - Part I / Violent U.S. Remix,01ZcGaInwbGQ851SwRKnNE,0.58,0.867,7,-7.912,1,0.0864,0.000686,0.432,0.174,0.614,191.427,01ZcGaInwbGQ851SwRKnNE,spotify:track:01ZcGaInwbGQ851SwRKnNE,https://api.spotify.com/v1/tracks/01ZcGaInwbGQ851SwRKnNE,https://api.spotify.com/v1/audio-analysis/01ZcGaInwbGQ851SwRKnNE,305693,4
210,Mea Culpa - Part II / Fading Shades Mix,6kgKw11wmhn9LhN1veBDfp,0.596,0.685,1,-9.893,1,0.0365,0.0319,0.555,0.216,0.519,97.419,6kgKw11wmhn9LhN1veBDfp,spotify:track:6kgKw11wmhn9LhN1veBDfp,https://api.spotify.com/v1/tracks/6kgKw11wmhn9LhN1veBDfp,https://api.spotify.com/v1/audio-analysis/6kgKw11wmhn9LhN1veBDfp,376960,4
211,Principles Of Lust - Everlasting Lust Mix,2KdoZ7Zgvle6uX0SWwkT7D,0.668,0.74,5,-9.536,1,0.189,0.098,0.588,0.0865,0.249,190.031,2KdoZ7Zgvle6uX0SWwkT7D,spotify:track:2KdoZ7Zgvle6uX0SWwkT7D,https://api.spotify.com/v1/tracks/2KdoZ7Zgvle6uX0SWwkT7D,https://api.spotify.com/v1/audio-analysis/2KdoZ7Zgvle6uX0SWwkT7D,309333,4
212,Return To Innocence - Long & Alive Version,5QPP9bMGcGtuzls5JycEwE,0.547,0.908,10,-7.452,1,0.0661,0.0682,5.13e-05,0.69,0.49,87.995,5QPP9bMGcGtuzls5JycEwE,spotify:track:5QPP9bMGcGtuzls5JycEwE,https://api.spotify.com/v1/tracks/5QPP9bMGcGtuzls5JycEwE,https://api.spotify.com/v1/audio-analysis/5QPP9bMGcGtuzls5JycEwE,427773,4
213,Age Of Loneliness - Enigmatic Club Mix,797LriZS5m0vq1q7MDrhON,0.609,0.744,4,-11.441,0,0.0382,0.0171,0.808,0.0986,0.118,127.992,797LriZS5m0vq1q7MDrhON,spotify:track:797LriZS5m0vq1q7MDrhON,https://api.spotify.com/v1/tracks/797LriZS5m0vq1q7MDrhON,https://api.spotify.com/v1/audio-analysis/797LriZS5m0vq1q7MDrhON,383000,4
214,Out From The Deep - Trance Mix,7DCncVwvE3hRtjApPi0wTD,0.52,0.727,2,-10.915,1,0.0401,0.00594,0.89,0.119,0.151,167.993,7DCncVwvE3hRtjApPi0wTD,spotify:track:7DCncVwvE3hRtjApPi0wTD,https://api.spotify.com/v1/tracks/7DCncVwvE3hRtjApPi0wTD,https://api.spotify.com/v1/audio-analysis/7DCncVwvE3hRtjApPi0wTD,350067,4
215,T.N.T. For The Brain - Midnight Man Mix,5lkZM1BjJcMLxu9zJtmhxq,0.549,0.838,4,-9.769,0,0.0343,0.00506,0.933,0.0966,0.316,111.012,5lkZM1BjJcMLxu9zJtmhxq,spotify:track:5lkZM1BjJcMLxu9zJtmhxq,https://api.spotify.com/v1/tracks/5lkZM1BjJcMLxu9zJtmhxq,https://api.spotify.com/v1/audio-analysis/5lkZM1BjJcMLxu9zJtmhxq,357827,4
216,Gravity Of Love - Judgement Day Club Mix,01QSwCKPdqBilRZw1u8SDq,0.627,0.932,1,-10.2,0,0.0485,0.00258,0.803,0.152,0.547,139.987,01QSwCKPdqBilRZw1u8SDq,spotify:track:01QSwCKPdqBilRZw1u8SDq,https://api.spotify.com/v1/tracks/01QSwCKPdqBilRZw1u8SDq,https://api.spotify.com/v1/audio-analysis/01QSwCKPdqBilRZw1u8SDq,373880,4
217,Push The Limits - ATB Remix,7KiXDRO0QO8PvsoRQQF6t3,0.646,0.762,7,-9.277,1,0.0521,0.149,0.723,0.419,0.418,133.18,7KiXDRO0QO8PvsoRQQF6t3,spotify:track:7KiXDRO0QO8PvsoRQQF6t3,https://api.spotify.com/v1/tracks/7KiXDRO0QO8PvsoRQQF6t3,https://api.spotify.com/v1/audio-analysis/7KiXDRO0QO8PvsoRQQF6t3,511187,4
218,Voyageur - Club Mix,0ZOo3SN9PGXXLyC5540Qh4,0.72,0.686,9,-10.749,0,0.0495,0.0435,0.0909,0.054,0.142,121.389,0ZOo3SN9PGXXLyC5540Qh4,spotify:track:0ZOo3SN9PGXXLyC5540Qh4,https://api.spotify.com/v1/tracks/0ZOo3SN9PGXXLyC5540Qh4,https://api.spotify.com/v1/audio-analysis/0ZOo3SN9PGXXLyC5540Qh4,385267,4
219,Boum-Boum - Chicane Club Edit,5ARLN41g99zqpHsl0cSn1u,0.779,0.713,9,-10.683,0,0.0419,0.104,0.389,0.146,0.764,129.995,5ARLN41g99zqpHsl0cSn1u,spotify:track:5ARLN41g99zqpHsl0cSn1u,https://api.spotify.com/v1/tracks/5ARLN41g99zqpHsl0cSn1u,https://api.spotify.com/v1/audio-analysis/5ARLN41g99zqpHsl0cSn1u,303347,4
220,Dreaming Of Andromeda - Jean F. Cochois Remix,2a18ZwDrteYCsSNprw9la6,0.62,0.494,2,-11.972,0,0.031,0.0975,0.804,0.115,0.155,105.008,2a18ZwDrteYCsSNprw9la6,spotify:track:2a18ZwDrteYCsSNprw9la6,https://api.spotify.com/v1/tracks/2a18ZwDrteYCsSNprw9la6,https://api.spotify.com/v1/audio-analysis/2a18ZwDrteYCsSNprw9la6,449413,4
221,Lost One,47iLxRTFYuguFNyYs3fjJh,0.576,0.55,0,-12.919,1,0.078,0.116,0.816,0.102,0.347,190.073,47iLxRTFYuguFNyYs3fjJh,spotify:track:47iLxRTFYuguFNyYs3fjJh,https://api.spotify.com/v1/tracks/47iLxRTFYuguFNyYs3fjJh,https://api.spotify.com/v1/audio-analysis/47iLxRTFYuguFNyYs3fjJh,219053,4
222,Lost Two,655yaf3T2lT80wrn7burvm,0.69,0.39,7,-11.73,1,0.0415,0.775,0.91,0.234,0.418,95.006,655yaf3T2lT80wrn7burvm,spotify:track:655yaf3T2lT80wrn7burvm,https://api.spotify.com/v1/tracks/655yaf3T2lT80wrn7burvm,https://api.spotify.com/v1/audio-analysis/655yaf3T2lT80wrn7burvm,133280,4
223,Lost Three,3InaLrEJmmjQ340xrF2YOM,0.7,0.722,6,-9.199,0,0.0442,0.176,0.929,0.0864,0.67,79.984,3InaLrEJmmjQ340xrF2YOM,spotify:track:3InaLrEJmmjQ340xrF2YOM,https://api.spotify.com/v1/tracks/3InaLrEJmmjQ340xrF2YOM,https://api.spotify.com/v1/audio-analysis/3InaLrEJmmjQ340xrF2YOM,214947,4
224,Lost Four,0knOolA6BHB6PyqRzkGccW,0.755,0.678,7,-8.999,1,0.0812,0.0124,0.0008,0.0865,0.683,95.012,0knOolA6BHB6PyqRzkGccW,spotify:track:0knOolA6BHB6PyqRzkGccW,https://api.spotify.com/v1/tracks/0knOolA6BHB6PyqRzkGccW,https://api.spotify.com/v1/audio-analysis/0knOolA6BHB6PyqRzkGccW,208720,4
225,Lost Five,5FpRRYLiHvFeiTFpY6lMep,0.758,0.504,6,-10.462,0,0.11,0.0752,0.795,0.102,0.704,90.022,5FpRRYLiHvFeiTFpY6lMep,spotify:track:5FpRRYLiHvFeiTFpY6lMep,https://api.spotify.com/v1/tracks/5FpRRYLiHvFeiTFpY6lMep,https://api.spotify.com/v1/audio-analysis/5FpRRYLiHvFeiTFpY6lMep,151093,4
